config,level,accesses,misses,evictions,traffic-up,svewidth
TX2,1,14722931,769751,769239,49264064,128
TX2,2,769751,533191,529095,34124224,128
TX2,3,533191,300580,0,19237120,128
A64FX,1,14714463,171239,170983,43837184,128
A64FX,2,171239,83377,50609,21344512,128
TX2,1,14956150,946651,946139,60585664,256
TX2,2,946651,707763,703667,45296832,256
TX2,3,707763,300581,0,19237184,256
A64FX,1,14817246,215828,215572,55251968,256
A64FX,2,215828,84415,51647,21610240,256
TX2,1,14694001,947076,946564,60612864,512
TX2,2,947076,708014,703918,45312896,512
TX2,3,708014,300582,0,19237248,512
A64FX,1,14512744,215570,215314,55185920,512
A64FX,2,215570,84296,51528,21579776,512
TX2,1,14632561,948590,948078,60709760,1024
TX2,2,948590,708095,703999,45318080,1024
TX2,3,708095,300582,0,19237248,1024
A64FX,1,14386792,215668,215412,55211008,1024
A64FX,2,215668,84415,51647,21610240,1024
TX2,1,14567025,949346,948834,60758144,2048
TX2,2,949346,708109,704013,45318976,2048
TX2,3,708109,300582,0,19237248,2048
A64FX,1,14331350,216827,216571,55507712,2048
A64FX,2,216827,84413,51645,21609728,2048
