config,level,accesses,misses,evictions,traffic-up
L1024-S16,1,11141398,655392,655328,671121408
L1024-S16,2,655392,655392,647200,671121408
L1024-S2,1,11141398,6946844,6946780,7113568256
L1024-S2,2,6946844,6946844,6938652,7113568256
L1024-S32,1,11141398,655392,655328,671121408
L1024-S32,2,655392,655392,647200,671121408
L1024-S4,1,11141398,655392,655328,671121408
L1024-S4,2,655392,655392,647200,671121408
L1024-S8,1,11141398,655392,655328,671121408
L1024-S8,2,655392,655392,647200,671121408
L128-S16,1,15728919,5242919,5242407,671093632
L128-S16,2,5242919,5242919,5177383,671093632
L128-S2,1,15728919,11534371,11533859,1476399488
L128-S2,2,11534371,11534371,11468835,1476399488
L128-S32,1,15728919,5242919,5242407,671093632
L128-S32,2,5242919,5242919,5177383,671093632
L128-S4,1,15728919,5242919,5242407,671093632
L128-S4,2,5242919,5242919,5177383,671093632
L128-S8,1,15728919,5242919,5242407,671093632
L128-S8,2,5242919,5242919,5177383,671093632
L2048-S16,1,10813718,327712,327680,671154176
L2048-S16,2,327712,327712,323616,671154176
L2048-S2,1,10813718,6619164,6619132,13556047872
L2048-S2,2,6619164,6619164,6615068,13556047872
L2048-S32,1,10813718,327712,327680,671154176
L2048-S32,2,327712,327712,323616,671154176
L2048-S4,1,10813718,327712,327680,671154176
L2048-S4,2,327712,327712,323616,671154176
L2048-S8,1,10813718,327712,327680,671154176
L2048-S8,2,327712,327712,323616,671154176
L256-S16,1,13107478,2621476,2621220,671097856
L256-S16,2,2621476,2621476,2588708,671097856
L256-S2,1,13107478,8912928,8912672,2281709568
L256-S2,2,8912928,8912928,8880160,2281709568
L256-S32,1,13107478,2621476,2621220,671097856
L256-S32,2,2621476,2621476,2588708,671097856
L256-S4,1,13107478,2621476,2621220,671097856
L256-S4,2,2621476,2621476,2588708,671097856
L256-S8,1,13107478,2621476,2621220,671097856
L256-S8,2,2621476,2621476,2588708,671097856
L512-S16,1,11796758,1310754,1310626,671106048
L512-S16,2,1310754,1310754,1294370,671106048
L512-S2,1,11796758,7602206,7602078,3892329472
L512-S2,2,7602206,7602206,7585822,3892329472
L512-S32,1,11796758,1310754,1310626,671106048
L512-S32,2,1310754,1310754,1294370,671106048
L512-S4,1,11796758,1310754,1310626,671106048
L512-S4,2,1310754,1310754,1294370,671106048
L512-S8,1,11796758,1310754,1310626,671106048
L512-S8,2,1310754,1310754,1294370,671106048
L64-S16,1,20971803,10485808,10484784,671091712
L64-S16,2,10485808,10485808,10354736,671091712
L64-S2,1,20971803,16777260,16776236,1073744640
L64-S2,2,16777260,16777260,16646188,1073744640
L64-S32,1,20971803,10485808,10484784,671091712
L64-S32,2,10485808,10485808,10354736,671091712
L64-S4,1,20971803,10485808,10484784,671091712
L64-S4,2,10485808,10485808,10354736,671091712
L64-S8,1,20971803,10485808,10484784,671091712
L64-S8,2,10485808,10485808,10354736,671091712
